cluster,LATITUDE_DD,LONGITUDE_DD,AVG_OXYGEN,MIN_OXYGEN,MAX_OXYGEN,DAY_OF_YEAR,AVG_DATE,20_year_pop
-1,45.46231648648649,-81.22198702702703,10.052790697674418,8.98,13.06,244.8823529411765,09/01,595.0
0,44.64587534090909,-80.16690681818181,10.769024390243905,8.68,13.31,229.66666666666663,08/17,132098.0
1,44.71762520408163,-80.85622469387755,11.440208333333333,8.83,13.71,239.5,08/27,485.0
2,44.72569464285714,-80.59909571428571,10.83090909090909,8.7,13.07,240.33333333333331,08/28,20071.0
3,44.73658557377049,-80.43476606557377,11.2075,8.69,13.53,239.5,08/27,1445.0
4,44.79649422222222,-80.24342488888888,10.834736842105263,8.71,13.24,239.0,08/27,23353.0
5,44.87161969230769,-79.96820923076923,9.728333333333332,8.64,12.24,230.22222222222223,08/18,35827.0
6,44.920010727272725,-80.87484872727273,11.1025,8.89,13.53,237.77777777777777,08/25,3766.0
7,44.92105846153846,-80.60617480769231,11.27290909090909,8.98,13.89,240.375,08/28,3859.0
8,44.95260575757575,-80.14905772727273,10.71642857142857,8.81,12.8,239.5,08/27,4600.0
9,45.06654433333333,-81.253434,10.934,9.19,13.31,244.33333333333331,09/01,649.0
10,45.16660318181818,-80.29675363636365,10.151666666666666,8.86,12.15,221.22222222222223,08/09,92561.0
11,45.23857481481481,-81.44002592592594,11.366769230769233,8.95,13.75,237.55555555555557,08/25,7066.0
12,45.24480490384615,-80.8746335576923,11.30078431372549,8.89,13.96,237.33333333333331,08/25,13642.0
13,45.353517,-80.4866556,9.734444444444444,8.24,11.86,239.125,08/27,14272.0
14,45.36462875,-81.18976854166667,11.25690909090909,8.86,13.84,239.75,08/27,44041.0
15,45.37019157894737,-81.5850172631579,11.4130625,9.14,13.65,237.55555555555557,08/25,55648.0
16,45.527382424242425,-81.66945242424242,11.159166666666666,9.25,13.45,243.66666666666663,08/31,744.0
17,45.58359527472528,-81.08358010989012,11.276782608695653,8.89,13.66,238.0,08/26,7571.0
18,45.67875893617022,-80.83908255319149,10.48,8.97,12.76,239.625,08/27,13700.0
19,45.70779382352941,-81.61980382352942,11.00125,9.11,12.6,242.7142857142857,08/30,8658.0
20,45.833228297872346,-80.90020212765957,10.194736842105264,9.04,11.94,239.75,08/27,4279.0
21,45.86651737704918,-81.00022852459016,9.373636363636365,5.84,11.34,239.75,08/27,6930.0
22,45.87344051282052,-81.25824794871794,10.2575,8.23,12.63,239.5,08/27,7730.0
23,45.912706029411765,-81.59523279411765,10.47653846153846,8.94,13.33,239.5,08/27,26702.0
