cluster,LATITUDE_DD,LONGITUDE_DD,AVG_OXYGEN,MIN_OXYGEN,MAX_OXYGEN,DAY_OF_YEAR,AVG_DATE,20_year_pop
-1,42.08024261390887,-81.75527551558754,7.4958096103896095,2.25,10.23,202.1153846153846,07/21,0.0
0,41.48419264150943,-82.18350509433962,8.814010666666666,7.72,11.26,227.5,08/15,87402.0
1,41.500232857142855,-82.49990107142857,8.443630500000001,4.617,9.695,222.7142857142857,08/10,35283.0
2,41.51907902439024,-82.64050170731707,8.257314838709677,2.46,11.78,212.6,07/31,12677.0
3,41.52511723684211,-81.7083442105263,8.519230714285715,5.89,9.58,219.9333333333333,08/07,66039.0
4,41.57473957894737,-82.18319631578947,7.961202777777777,2.56,10.84,222.375,08/10,223532.0
5,41.60838871428572,-82.92432442857142,8.88417625,7.6,11.05,199.8823529411765,07/18,49301.0
6,41.68312838709677,-81.74177419354838,8.003892692307693,2.56,9.5,227.33333333333331,08/15,3511.0
7,41.6917105263158,-81.44169157894737,8.70462705882353,7.949,9.5,213.1875,08/01,39573.0
8,41.71634777777778,-82.1831161904762,7.617676400000001,0.16,9.42,226.0,08/14,614.0
9,41.724904310344826,-83.14983689655172,9.26320882352941,7.81,14.9,202.4705882352941,07/21,211006.0
10,41.74150490566038,-82.73351264150945,9.26101375,6.14,14.61,209.13333333333333,07/28,43412.0
11,41.76617897959184,-83.3089281632653,9.2716249375,6.72,16.969999,195.91666666666663,07/14,9748.0
12,41.791811851851854,-83.33294851851852,8.876954705882353,6.31,10.42,181.13333333333333,06/30,145083.0
13,41.79990757575757,-81.44153075757575,7.5387160714285715,1.46,9.296,228.07692307692307,08/16,3823.0
14,41.82212307692308,-82.97644442307691,8.604761666666667,6.3,9.96,196.88888888888889,07/15,309632.0
15,41.86685951612903,-83.19990048387096,9.556245789473683,7.43,15.19,197.94117647058823,07/16,109719.0
16,41.89170661290322,-82.6666658064516,8.823136666666667,8.06,12.81,215.33333333333331,08/03,169232.0
17,41.908386666666665,-82.18327555555555,7.869265925925926,1.49,10.13,216.3846153846154,08/04,14847.0
18,41.93606717241379,-81.65462248275861,7.138428356164384,0.08,11.39,222.45,08/10,3615.0
19,41.94979492307693,-83.05002123076923,8.61829,6.75,9.378,198.52631578947367,07/17,33938.0
20,41.95696645833333,-80.64156833333332,8.475050625,7.57,9.388,228.3846153846154,08/16,402294.0
21,41.96834888888889,-83.20782055555556,8.99648923076923,7.52,11.08,207.0,07/26,121364.0
22,41.9834069117647,-82.62487720588236,8.480170952380954,6.71,11.12,201.625,07/20,111812.0
23,41.99163714285714,-80.64141964285714,8.456401818181819,5.4,9.13,230.41666666666663,08/18,169502.0
24,42.02489482758621,-81.44117448275863,7.928485,0.08,9.6,224.07692307692307,08/12,6055.0
25,42.10007661290322,-82.18316548387097,7.099969696969697,0.57,10.5,220.76470588235293,08/08,0.0
26,42.10997259259259,-81.57471259259259,7.703981052631579,1.66,9.758,214.0625,08/02,2.0
27,42.16653375,-80.64150625,7.8809302,2.95,11.26,220.86666666666667,08/08,34958.0
28,42.19472678571429,-82.18257035714285,7.877524210526315,3.06,9.44,213.3846153846154,08/01,84245.0
29,42.20816183333333,-81.44135166666666,7.939313181818182,1.13,9.64,220.7142857142857,08/08,3647.0
30,42.25012132231405,-81.10823462809918,7.791005999999999,1.70763,10.86,219.875,08/07,22606.0
31,42.2588712244898,-79.83319908163266,8.52984511627907,6.36,9.41,221.64705882352945,08/09,863751.0
32,42.28057464912281,-81.6705993859649,6.844846779661017,0.32,9.884,215.3571428571429,08/03,526.0
33,42.32495911764706,-79.83335808823529,9.052757575757576,6.04,11.59,226.3571428571429,08/14,197728.0
34,42.35838603448276,-81.44146586206897,8.191115416666667,0.26,11.45,220.7142857142857,08/08,21047.0
35,42.40001769230769,-80.64154692307693,8.66113,0.0,12.17,219.75,08/07,42079.0
36,42.44155833333333,-79.83312712121212,9.252681333333332,6.6,12.17,227.30769230769232,08/15,188475.0
37,42.47496100917431,-81.44131220183486,7.721130566037736,0.03,12.61,219.9333333333333,08/07,176.0
38,42.4750006,-79.40861079999999,8.5600275,8.01,9.36,228.23076923076923,08/16,80123.0
39,42.5058856284153,-79.89772590163935,9.49665,6.82,12.68,223.68421052631575,08/11,131028.0
40,42.53326974358975,-80.64173811965813,8.275459310344827,4.30839,11.75,218.8823529411765,08/06,101418.0
41,42.53834944444444,-79.61678555555555,9.5616515625,7.05,12.95,222.75,08/10,1148731.0
42,42.56652852941176,-79.91655985294118,9.667342857142858,6.27,13.38,223.57142857142856,08/11,192823.0
43,42.56984444444444,-81.20236703703704,8.472964999999999,5.52563,9.363,207.4,07/26,152370.0
44,42.57457174603175,-80.64149888888889,8.340810952380952,6.658,9.534,220.06666666666663,08/08,100971.0
45,42.5875379661017,-81.4412659322034,8.553714,6.65,10.42,215.3571428571429,08/03,451307.0
46,42.59167605042017,-79.46634352941177,8.854339032258064,6.58562,11.28,220.8823529411765,08/08,415672.0
47,42.61473068965517,-81.20842896551724,8.118378333333334,5.18812,9.444,207.4,07/26,1001091.0
48,42.632516129032254,-81.20976677419355,8.215248666666666,5.12522,15.17,207.6,07/26,1724.0
49,42.633353974358975,-80.05826820512821,9.004629999999999,3.06,11.8,219.375,08/07,33807.0
50,42.64711540540541,-79.69135063063064,9.128252950819672,6.34,11.47,212.58333333333331,07/31,600635.0
51,42.65017444444444,-81.21063814814815,6.693292222222222,4.19627,9.404,217.0,08/05,16357.0
52,42.70810746666667,-79.5080992,8.488669375,2.43,10.31,220.0,08/08,56843.0
53,42.71668305882353,-80.24963976470589,8.881086333333334,8.38,9.58691,214.7142857142857,08/02,442703.0
54,42.7667237037037,-79.96675944444443,8.6934165,7.89979,9.33,210.58333333333331,07/29,178534.0
55,42.76628375,-79.555777,8.926067999999999,7.68783,10.3,217.375,08/05,115104.0
56,42.7915762295082,-79.2083293442623,8.14541909090909,5.07,9.38,220.6,08/08,95128.0
57,42.8000258490566,-79.69963735849058,8.291847222222223,5.051,9.36,219.83333333333331,08/07,176556.0
