cluster,LATITUDE_DD,LONGITUDE_DD,AVG_OXYGEN,MIN_OXYGEN,MAX_OXYGEN,DAY_OF_YEAR,AVG_DATE,20_year_pop
-1,44.82662921787709,-82.36907553072626,10.741212765957446,8.0,13.73,243.07692307692307,08/31,13775.0
0,43.08986921875,-82.39170625,8.886166666666666,7.91,9.685,230.69230769230768,08/18,72330.0
1,43.2569852173913,-82.03829630434782,9.360705882352942,8.39,10.97,228.91666666666663,08/16,113200.0
2,43.32490953488372,-81.78858627906976,9.2258,8.81,11.3,226.0909090909091,08/14,82102.0
3,43.3415770212766,-82.50628914893618,9.246071428571428,8.8,11.14,240.72727272727272,08/28,4024.0
4,43.54810422222222,-81.74512955555555,9.202461538461538,8.7,10.84,226.0909090909091,08/14,171867.0
5,43.566775094339626,-82.48441773584906,10.318045454545455,8.74,13.61,243.7,08/31,925.0
6,43.633420512820514,-82.21674299145299,11.292016666666663,8.8,13.93,235.66666666666663,08/23,21058.0
7,43.753394,-82.56794527272727,9.300722222222223,8.83,11.39,241.0,08/29,11814.0
8,43.75340804878049,-81.78173390243903,9.26546153846154,8.66,10.83,242.22222222222223,08/30,4744.0
9,43.82088222222222,-83.62637622222222,9.245538461538462,8.6,10.55,217.07692307692307,08/05,64330.0
10,43.82510655172414,-83.81698327586207,9.132181818181818,8.45,10.11,217.15384615384616,08/05,1389472.0
11,43.89001393939394,-82.0565840909091,11.015066666666666,8.01,14.02,235.5,08/23,42320.0
12,43.90832609756097,-83.74158609756097,8.866923076923076,8.41,9.42,222.66666666666663,08/10,351022.0
13,43.94160431818182,-82.66640818181817,9.175571428571429,8.74,9.95,243.9,08/31,301.0
14,43.956643125,-81.78711166666666,9.244125,8.7,10.74,225.41666666666663,08/13,169269.0
15,43.97638829787234,-83.57541021276596,9.326588235294118,7.81,9.97,222.75,08/10,258626.0
16,44.06933925,-83.080598,9.209857142857144,8.77,10.89,228.44444444444449,08/16,5446.0
17,44.10013597222222,-82.86663458333334,9.23103448275862,8.58,10.19,233.0,08/21,43594.0
18,44.115317674418606,-83.52904441860464,9.7546,8.96,12.02,230.45454545454547,08/18,192640.0
19,44.12650901960784,-83.17100686274509,9.994272727272728,8.78,12.73,230.27272727272728,08/18,32612.0
20,44.19828057692308,-82.50353634615385,10.890458333333331,8.82,13.65,241.8,08/29,17637.0
21,44.2125368,-83.37075920000001,9.961,8.8,12.47,224.0,08/12,106390.0
22,44.21692803921569,-83.08365509803922,10.459478260869563,8.71,13.37,243.9,08/31,1480.0
23,44.33326374999999,-83.299155,9.73525,9.07,10.82,239.6,08/27,4584.0
24,44.366776,-81.83336295652174,11.331770491803278,8.83,14.9,242.27272727272728,08/30,2432.0
25,44.45273746478873,-82.34228521126761,11.031,8.97,13.73,239.8,08/27,13760.0
26,44.467044782608696,-81.45363608695652,9.753333333333334,8.75,11.73,246.5,09/03,200.0
27,44.49990918032787,-82.83357868852458,11.10241935483871,8.44,14.38,241.1818181818182,08/29,4470.0
28,44.6399585,-83.231367,10.147538461538462,9.06,12.3,241.0,08/29,9127.0
29,44.65645842105263,-81.37823614035088,10.127652173913043,8.84,13.09,235.3636363636364,08/23,14203.0
30,44.73985430769231,-82.05640092307692,11.5071875,8.91,14.31,244.4,09/01,1159.0
31,44.898353023255815,-81.43737139534883,9.638375,8.87,12.0,246.88888888888889,09/03,907.0
32,45.01305225352113,-82.00839253521127,11.668583333333334,8.92,13.64,243.11111111111111,08/31,1242.0
33,45.0166789516129,-82.68433701612904,11.532295081967211,8.86,14.35,242.4,08/30,2770.0
34,45.039899180327865,-83.37809295081968,9.23868181818182,5.69,10.77,221.5,08/09,212416.0
35,45.08309811320755,-81.5370079245283,10.100318181818182,8.89,12.47,235.3636363636364,08/23,16449.0
36,45.22156938461538,-81.8204446153846,10.776357142857142,9.03,13.36,235.0,08/23,14913.0
37,45.25472820512821,-83.34657384615385,9.654944444444444,8.87,11.86,241.22222222222223,08/29,4624.0
38,45.27821409836066,-82.45147557377048,11.408275862068963,9.03,13.78,242.4,08/30,532.0
39,45.42483064516129,-83.65135322580645,10.23223076923077,8.92,12.78,241.7142857142857,08/29,503.0
40,45.5168766,-84.08367679999999,10.570608695652174,9.29,12.8,239.7,08/27,6959.0
