cluster,LATITUDE_DD,LONGITUDE_DD,AVG_OXYGEN,MIN_OXYGEN,MAX_OXYGEN,DAY_OF_YEAR,AVG_DATE,20_year_pop
-1,43.706293746223565,-78.07856235649547,10.234075384615384,8.1,12.17,237.7619047619048,08/25,11209.0
0,43.22343612244898,-79.4463387755102,9.997653846153847,8.52,11.09,226.375,08/14,420957.0
1,43.22526671232877,-79.27145315068492,9.584141304347826,8.0,10.58,218.27272727272728,08/06,993674.0
2,43.2548685,-79.1948745,9.60148875,8.32,10.88,227.7142857142857,08/15,118046.0
3,43.26831333333333,-79.61990060606061,10.22195128205128,8.04,12.81,226.63636363636363,08/14,21611.0
4,43.27164368421053,-79.3595102631579,11.334966666666666,8.75,13.68,225.66666666666663,08/13,27103.0
5,43.275282463768114,-77.5915652173913,9.182705652173912,8.39,11.01,225.7,08/13,267139.0
6,43.2805281632653,-79.87216775510204,7.651523529411764,1.01,11.09,230.7142857142857,08/18,4.0
7,43.285775192307696,-79.79492538461538,5.853954,0.0,11.04,238.88888888888889,08/26,0.0
8,43.28700171875,-79.84202328125,5.6969808,0.02,11.04,232.0,08/20,0.0
9,43.296500615384616,-79.00526538461538,9.30545238095238,8.47,11.07,227.0909090909091,08/15,51907.0
10,43.30077413043478,-79.11929456521739,9.630686666666668,8.76,10.24,224.375,08/12,131701.0
11,43.30297769230769,-79.27737846153846,11.219708333333337,8.84,14.14,222.5,08/10,485696.0
12,43.30442222222222,-79.81505666666666,7.944048181818181,1.6,12.64,238.77777777777777,08/26,68.0
13,43.31306787878788,-79.75216333333333,10.208561904761904,8.29,11.5848,229.33333333333331,08/17,83675.0
14,43.313365764705885,-76.99992282352942,9.304404857142858,7.49,11.26,226.28571428571428,08/14,264596.0
15,43.31657648648649,-79.4427172972973,11.487927272727273,8.78,15.13,227.28571428571428,08/15,43695.0
16,43.32476190476191,-77.21631023809525,10.207921666666666,8.48,11.99,224.625,08/12,58421.0
17,43.32664432432432,-78.86802675675676,8.880427142857142,8.68,9.31299,228.5,08/16,99307.0
18,43.32845233333333,-77.43817599999998,9.0723275,8.54,9.48931,225.0,08/13,103499.0
19,43.33323142857143,-76.83996057142856,8.792334,7.67,9.632,227.66666666666663,08/15,14859.0
20,43.33815955555556,-79.19622822222222,11.734717647058824,8.87,14.47,225.83333333333331,08/13,208201.0
21,43.33966065217392,-79.66516260869565,10.2435,8.88,12.05,226.57142857142856,08/14,46401.0
22,43.34975609756097,-77.71172731707317,9.075903333333336,8.77,9.5,226.8571428571429,08/14,178236.0
23,43.36011216216216,-78.72985,9.193030000000002,8.74,9.73,226.42857142857144,08/14,339805.0
24,43.36002409090909,-77.51529045454545,11.09875,8.59,12.82,225.33333333333331,08/13,310195.0
25,43.37003594594594,-79.0664045945946,10.74740909090909,9.07,12.54,225.66666666666663,08/13,59063.0
26,43.38282348837209,-79.28510325581397,11.492872727272728,8.92,14.21,223.7142857142857,08/11,144651.0
27,43.38154536585366,-77.29811707317073,10.507823636363636,8.56,12.98,225.5,08/13,215310.0
28,43.38392985507247,-77.9900195652174,9.119110869565215,8.65,10.58,228.0,08/16,32139.0
29,43.39169375,-78.3693140625,9.192628571428571,8.78,9.726,225.33333333333331,08/13,134019.0
30,43.39348451612904,-79.4865764516129,11.304444444444444,8.83,13.81,223.0,08/11,170662.0
31,43.40839743589744,-76.79535641025642,8.92658857142857,8.55,9.522,226.28571428571428,08/14,63985.0
32,43.41299084745763,-77.57518237288136,10.998559310344827,8.77,14.94,233.0,08/21,49434.0
33,43.41655949152543,-79.40124949152542,11.663422222222223,8.8,14.19,223.625,08/11,164014.0
34,43.423395,-76.88319444444444,10.046470588235294,8.48,12.94,225.5,08/13,952894.0
35,43.42491469387755,-79.65743183673469,9.695775,8.27,10.77,239.7,08/27,11055.0
36,43.43368756756757,-77.71140216216216,10.223674166666669,8.17,12.88,226.16666666666663,08/14,458179.0
37,43.43996585365854,-79.1276287804878,11.48784761904762,8.51,13.68,225.66666666666663,08/13,124299.0
38,43.44308473684211,-77.43827929824562,10.198835294117648,8.86,12.91,234.57142857142856,08/22,139556.0
39,43.46142875,-78.75969166666667,11.0873975,8.9,14.0,228.14285714285717,08/16,528580.0
40,43.4665224,-79.529946,10.544916923076924,8.28,13.01,228.42857142857144,08/16,121343.0
41,43.47688155172414,-76.52692103448275,9.108778,7.64,10.77,227.44444444444449,08/15,58518.0
42,43.486848076923074,-78.00062596153846,10.76375761904762,8.81,13.37,226.57142857142856,08/14,235334.0
43,43.49138170731708,-78.38650926829268,10.902682727272728,8.67,13.56,226.28571428571428,08/14,137462.0
44,43.50308219512195,-79.35351707317074,10.676591176470588,8.46,13.56,226.9,08/14,92046.0
45,43.51708596491228,-79.08021368421053,9.5452625,2.0,12.94,224.25,08/12,61715.0
46,43.5256665,-76.92490925,10.612142857142857,8.49,12.99,223.83333333333331,08/11,19627.0
47,43.52991307692308,-76.73131871794871,10.349269166666668,8.7,12.91,223.0,08/11,41667.0
48,43.54157611111112,-76.6181337037037,10.420387916666668,7.9,12.82,224.875,08/12,189337.0
49,43.54660485714286,-79.488612,10.950833333333334,8.5,14.94,229.0,08/17,23277.0
50,43.55077340425532,-76.5249229787234,10.8267625,8.9,13.37,223.28571428571428,08/11,129090.0
51,43.57998531249999,-77.20011552083334,10.905473658536586,8.21,13.44,229.5,08/17,93428.0
52,43.58469595238095,-79.31221523809525,9.054511428571429,8.18,10.22,231.5,08/19,72823.0
53,43.58646857142857,-79.39463321428572,10.646331111111111,8.53,12.35,230.375,08/18,11405.0
54,43.58981956896552,-78.01276284482759,10.757309298245614,8.61,14.02,225.6,08/13,216701.0
55,43.597102123893805,-78.80331088495575,10.998884,8.59,14.25,226.54545454545453,08/14,272596.0
56,43.60775455882353,-79.01662882352942,10.979601379310344,8.28,13.32,228.75,08/16,188761.0
57,43.6063501754386,-76.71329929824562,10.477295909090907,7.9,12.94,230.14285714285717,08/18,223803.0
58,43.62302841463415,-79.45310353658536,9.480627142857143,8.25785,12.37,230.77777777777777,08/18,310010.0
59,43.632417,-76.28828700000001,9.464388333333334,8.9,10.6,224.4,08/12,526654.0
60,43.635627410714285,-79.36848705357143,9.73908870967742,8.11,12.38,229.53333333333333,08/17,21285.0
61,43.6676834375,-79.266319375,9.08288142857143,5.89,11.8,232.0,08/20,70649.0
62,43.7031675,-78.9566403846154,10.39467642857143,8.81,12.57,226.77777777777777,08/14,95274.0
63,43.716944676259,-78.02658330935252,10.990255645161293,8.42,13.91,225.9,08/13,130282.0
64,43.7316062,-77.016495,10.061640588235294,8.78,12.5,220.66666666666663,08/08,40479.0
65,43.74989135135135,-79.08329540540541,10.054334444444445,8.18,13.34,232.16666666666663,08/20,116916.0
66,43.750161228070176,-76.51810456140352,10.34553,8.34,12.66,231.9,08/19,52979.0
67,43.771622,-77.43780933333333,9.204932727272729,8.71,10.51,226.42857142857144,08/14,88017.0
68,43.7745582051282,-78.85525692307692,9.59367,8.66,11.01,233.0,08/21,5797.0
69,43.782757,-78.43814675,9.607647142857145,8.27,10.87,231.66666666666663,08/19,44538.0
70,43.78659820512821,-77.1584570940171,9.77714372881356,7.59,12.03,227.72727272727272,08/15,519666.0
71,43.81985,-77.78349615384614,9.297326666666669,8.59,9.90596,226.7142857142857,08/14,78467.0
72,43.82984659574469,-78.66180808510639,9.955043846153846,7.95378,11.64,229.28571428571428,08/17,44636.0
73,43.82999157894737,-78.86997789473683,9.817643333333333,8.30586,12.43,233.57142857142856,08/21,73173.0
74,43.84011581395349,-78.03826930232557,9.50568375,8.67,10.36,226.57142857142856,08/14,83786.0
75,43.843252368421055,-76.3547652631579,8.823397,8.39,9.851,229.55555555555557,08/17,263487.0
76,43.87898083333334,-76.99977875,9.373488,8.98,10.46,230.75,08/18,313043.0
77,43.88651974683545,-78.4600805063291,9.73207,7.63,13.01,230.125,08/18,21639.0
78,43.88504142857143,-77.6904880952381,9.4938075,9.22,10.03,229.66666666666663,08/17,52440.0
79,43.88645711111111,-76.73365577777778,8.304658571428572,5.47,9.71,228.0,08/16,163849.0
80,43.91986377777778,-78.30698177777778,9.412555555555556,8.0,11.84,228.375,08/16,49299.0
81,43.9348548,-76.2317894,8.7209525,7.54063,9.914,229.125,08/17,197448.0
82,43.94966,-78.04992463414634,9.48579,8.24474,11.4,231.83333333333331,08/19,73440.0
83,43.95161066666667,-77.58833233333333,9.508988,9.1,10.81,229.25,08/17,949852.0
84,43.95660921052632,-76.40831894736843,8.68596,6.92,10.36,228.375,08/16,19599.0
85,44.01657550561797,-76.67152696629213,8.165870303030303,6.36,10.42,229.55555555555557,08/17,34335.0
86,44.06638,-76.81132741935484,8.94735,7.87,9.619,233.5,08/21,85561.0
87,44.074722,-76.52131533333333,8.913224285714286,8.43,9.889,232.7142857142857,08/20,39315.0
88,44.13598355932203,-76.8248727118644,8.150369999999999,5.33,10.12,233.42857142857144,08/21,14151.0
89,44.14145346153846,-76.61036307692308,8.946641666666666,8.26,9.684,233.66666666666663,08/21,52830.0
