cluster,LATITUDE_DD,LONGITUDE_DD,AVG_OXYGEN,MIN_OXYGEN,MAX_OXYGEN,DAY_OF_YEAR,AVG_DATE,20_year_pop
-1,47.4894071314741,-87.39014593625498,11.62342105263158,8.62,13.86,228.4705882352941,08/16,685320.0
0,46.50790000000001,-86.56823913043479,11.36,9.95,12.97,243.0,08/31,908.0
1,46.51683666666667,-87.33658766666667,10.24185185185185,9.08,12.89,239.7142857142857,08/27,2667.0
2,46.543321285714285,-84.74850871428572,10.905121951219511,8.73,12.99,236.11111111111111,08/24,150289.0
3,46.7135456,-85.8179896,9.957142857142856,9.08,10.89,242.5,08/30,1423.0
4,46.7306395652174,-84.79113652173913,10.604444444444445,8.88,12.51,248.75,09/05,13.0
5,46.74817017857144,-90.70319946428572,10.737307692307692,9.0,13.17,235.5,08/23,12112.0
6,46.74995130434783,-91.67773086956522,10.49,8.98,11.87,216.5,08/04,238279.0
7,46.780210740740735,-92.0527974074074,10.93,8.93,15.41,235.0,08/23,125128.0
8,46.81661113636364,-91.88486636363636,11.6095,9.2,12.91,238.5,08/26,1008.0
9,46.84449422222222,-90.187442,11.75206896551724,9.21,13.73,236.0,08/24,77609.0
10,46.85576136363636,-86.56615000000001,11.6525,9.62,13.04,252.0,09/09,3.0
11,46.90663086956521,-91.82043478260869,11.623333333333331,9.13,13.19,218.0,08/06,60563.0
12,46.93187333333333,-87.30443076923078,11.614444444444445,9.01,13.62,244.0,09/01,423.0
13,46.9382204,-91.4484676,11.861,9.4,13.2,224.0,08/12,127230.0
14,47.01660337349398,-88.18299506024096,11.464468085106384,8.83,13.88,239.7142857142857,08/27,13419.0
15,47.02663960784314,-89.03827490196078,10.462272727272728,9.09,12.58,240.4,08/28,6754.0
16,47.03661775,-85.102766,12.363809523809524,9.39,13.74,239.0,08/27,35018.0
17,47.07974723404256,-86.47759659574469,12.47181818181818,9.04,13.68,244.0,09/01,719.0
18,47.13195615384616,-91.11086634615384,12.106,9.27,14.22,223.5,08/11,280288.0
19,47.15933857142857,-87.28148142857142,12.345384615384615,9.75,13.52,221.5,08/09,183412.0
20,47.20665615384616,-89.66664653846153,12.04653846153846,9.48,13.77,232.5,08/20,75516.0
21,47.21337736842105,-85.63319039473684,12.022307692307692,9.35,14.0,228.75,08/16,442933.0
22,47.36659481481482,-88.81829148148148,11.742666666666668,9.35,13.54,239.66666666666663,08/27,8695.0
23,47.40161829268293,-87.41145,11.952142857142858,9.44,13.9,249.0,09/06,69.0
24,47.44851857142857,-89.92086523809523,12.228333333333332,9.58,13.71,219.0,08/07,109538.0
25,47.45528547619048,-85.27398261904762,12.165,8.71,14.08,237.75,08/25,21001.0
26,47.46765766666667,-90.904491,12.37875,9.62,13.46,218.5,08/06,368969.0
27,47.58390430379747,-86.95067101265822,12.08923076923077,9.68,14.02,242.8,08/30,4713.0
28,47.605083,-88.21628766666666,11.7025,9.51,13.52,239.66666666666663,08/27,4334.0
29,47.606560769230775,-87.70958326923076,12.267407407407408,9.83,13.41,235.5,08/23,5205.0
30,47.61207103448276,-89.00013551724138,11.76,9.5,13.42,238.66666666666663,08/26,12636.0
31,47.68771236842105,-89.46663000000001,12.46,9.52,15.47,223.33333333333331,08/11,73367.0
32,47.689325454545454,-85.96659181818183,11.718,9.39,13.54,242.0,08/30,3544.0
33,47.74621983050847,-90.2351406779661,11.948076923076922,10.35,13.16,241.6,08/29,4240.0
34,47.80292769230769,-89.14541653846155,12.056923076923075,9.97,13.56,226.0,08/14,26587.0
35,47.846916774193545,-87.45664,12.269285714285717,9.93,13.5,225.0,08/13,119790.0
36,47.84820416666666,-88.33657416666667,11.988387096774192,9.32,13.54,237.6,08/25,2246.0
37,47.88336105263158,-89.63929710526315,12.357647058823533,9.55,13.6,250.0,09/07,89.0
38,47.9181341025641,-84.91282743589743,11.385405405405406,9.22,15.08,241.14285714285717,08/29,5724.0
39,48.113039056603775,-86.30013000000001,12.112916666666663,9.54,13.83,239.8,08/27,1041.0
40,48.14536294117647,-87.70347729411765,11.818372093023257,9.93,13.9,239.4,08/27,19553.0
41,48.14977333333333,-89.14855952380952,12.102222222222222,9.54,13.28,225.0,08/13,43824.0
42,48.21823827586207,-87.01630310344827,11.79,9.93,13.61,242.25,08/30,2426.0
43,48.25316478873239,-89.17987408450705,11.306,9.32,13.22,239.0,08/27,5169.0
44,48.41645111111112,-88.93365611111112,11.195333333333334,9.19,12.54,221.0,08/09,108417.0
45,48.43813127272728,-87.25336418181817,12.505714285714287,10.02,14.42,241.57142857142856,08/29,3522.0
46,48.57549431372549,-88.11494568627451,11.8584,9.45,13.77,235.8,08/23,13089.0
47,48.58327470588235,-86.56507411764706,11.62125,9.38,13.66,238.75,08/26,35108.0
48,48.7323984375,-87.5636296875,12.090625,9.75,13.36,238.75,08/26,46168.0
49,48.75672082191781,-86.97592109589041,11.622424242424245,9.4,13.21,240.33333333333331,08/28,4610.0
