,SHIP_NAME,WATER_BODY,CSN,STN_DATE,CODE,DEPTH_FROM,DETECTION,FLAG,VALUE,ABBREV,FULL_NAME,UNITS,LATITUDE_DD,LONGITUDE_DD
229801,CCGS LIMNOS,LAKE SUPERIOR,85,2016-08-17 15:39:00,100,0.0,,,22.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.13194,-84.01611
327776,CCGS LIMNOS,LAKE SUPERIOR,84,2016-08-17 10:56:00,100,0.0,,,21.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.47361,-84.45944
303183,CCGS LIMNOS,LAKE SUPERIOR,1,2019-09-05 00:00:00,100,0.0,,,17.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.47417,-84.45944
58086,CCGS LIMNOS,LAKE SUPERIOR,48,2008-09-24 11:38:00,100,0.0,0.0,,15.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.50528,-86.5675
4732,CCGS LIMNOS,LAKE SUPERIOR,6,2013-05-15 21:07:00,100,0.0,0.0,,3.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.50806,-86.56778
74025,CCGS LIMNOS,LAKE SUPERIOR,7,2016-05-26 23:55:00,100,0.0,,,8.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.50833,-86.56806
255168,CCGS LIMNOS,LAKE SUPERIOR,41,2011-05-21 16:30:00,100,0.0,0.0,,3.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.50833,-86.56806
125777,CCGS LIMNOS,LAKE SUPERIOR,41,2019-09-14 00:00:00,100,0.0,,,11.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.50889,-86.56778
26002,CCGS LIMNOS,LAKE SUPERIOR,48,2008-05-13 03:31:00,100,0.0,0.0,,2.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.50917,-86.56917
27290,CCGS LIMNOS,LAKE SUPERIOR,41,2003-05-22 07:18:00,100,0.0,,,3.1,TEMP,TEMPERATURE (OF WATER),DEG C,46.50917,-86.56917
149743,CCGS LIMNOS,LAKE SUPERIOR,8,2016-08-05 00:04:00,100,0.0,,,20.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.50944,-86.56778
276343,CCGS LIMNOS,LAKE SUPERIOR,2,2005-09-28 16:03:00,100,0.0,0.0,,18.1,TEMP,TEMPERATURE (OF WATER),DEG C,46.51639,-87.33722
317220,CCGS LIMNOS,LAKE SUPERIOR,33,2001-08-22 21:25:00,100,0.0,,,21.1,TEMP,TEMPERATURE (OF WATER),DEG C,46.51639,-87.33694
223748,CCGS LIMNOS,LAKE SUPERIOR,8,2016-05-27 03:49:00,100,0.0,,,7.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.51639,-87.33611
