,cluster,YEAR,NUM_WARM_DAYS
0,-1,2005,5
1,-1,2016,34
2,-1,2019,1
3,0,2008,1
4,0,2016,1
5,1,2001,1
6,1,2005,2
7,1,2008,1
8,1,2011,1
9,1,2019,1
10,2,2001,2
11,2,2005,2
12,2,2008,1
13,2,2011,1
14,2,2016,2
15,2,2019,1
16,3,2016,1
17,4,2008,1
18,4,2016,1
19,5,2008,2
20,5,2016,1
21,5,2019,1
22,6,2001,1
23,6,2005,1
24,6,2008,1
25,6,2011,1
26,6,2016,1
27,7,2011,1
28,7,2016,1
29,8,2001,1
30,8,2011,1
31,8,2016,1
32,9,2001,1
33,9,2005,1
34,9,2011,1
35,9,2016,1
36,10,2005,1
37,10,2008,1
38,10,2011,1
39,10,2016,1
40,11,2005,2
41,13,2011,1
42,13,2016,1
43,14,2001,1
44,15,2001,1
45,15,2016,1
46,16,2016,1
47,17,2001,1
48,18,2001,1
49,18,2005,2
50,18,2008,1
51,18,2011,1
52,18,2016,1
53,18,2019,1
54,19,2001,1
55,19,2008,1
56,19,2011,1
57,19,2016,1
58,20,2001,1
59,20,2008,1
60,20,2016,1
61,21,2001,1
62,21,2016,1
63,22,2016,1
64,23,2001,1
65,23,2011,1
66,23,2016,1
67,24,2001,1
68,26,2001,1
69,26,2016,1
70,27,2001,1
71,27,2005,1
72,27,2016,1
73,28,2001,1
74,30,2001,1
75,30,2008,1
76,30,2016,1
77,31,2001,1
78,31,2016,1
79,32,2011,1
80,32,2016,1
81,33,2001,1
82,33,2005,1
83,33,2011,1
84,34,2011,1
85,34,2016,1
86,35,2001,1
87,35,2005,1
88,35,2016,1
89,36,2001,1
90,36,2016,1
91,37,2001,1
92,37,2005,1
93,37,2016,1
94,38,2001,1
95,38,2016,1
96,39,2001,1
97,39,2011,1
98,39,2016,1
99,40,2001,1
100,40,2008,1
101,40,2016,1
102,42,2001,1
103,42,2011,1
104,42,2016,1
105,43,2001,1
106,43,2016,1
107,44,2001,1
108,44,2016,1
109,45,2001,1
110,45,2005,1
111,45,2016,1
112,46,2001,1
113,47,2016,1
114,48,2001,1
115,48,2005,1
116,48,2008,1
117,48,2011,1
118,48,2016,1
119,48,2019,1
120,49,2016,1
121,50,2005,1
122,50,2016,1
123,51,2001,1
124,51,2005,1
125,51,2016,1
126,52,2016,1
127,53,2001,1
128,53,2016,1
129,54,2001,1
130,54,2005,1
131,54,2011,1
132,54,2016,1
133,55,2011,1
134,55,2016,1
135,56,2001,1
136,56,2005,1
137,56,2016,1
138,57,2005,1
139,57,2011,1
140,57,2016,1
141,58,2016,1
142,58,2019,1
143,59,2011,1
144,59,2016,1
145,60,2001,1
146,60,2005,2
147,60,2011,1
148,60,2016,1
